id;title;artist;year;url
1;Forever Young;Alphaville;1984;https://www.youtube.com/watch?v=t1TcDHrkQYg
2;Forever Young (Special Dance Mix);Alphaville;1984;https://www.youtube.com/watch?v=-5Yx2TnN9mc
3;Forever Young;Laura Branigan;1985;https://www.youtube.com/watch?v=-ELgvmeGYlo
4;Forever Young;Harry Holland and Dieter Reith;1985;https://www.youtube.com/watch?v=ViBh03zQZvI
5;Forever Young;Tracy Huang;1986;https://www.youtube.com/watch?v=XaGjHw5p8VM
6;Für Immer Punk;Die Goldenen Zitronen;1987;https://www.youtube.com/watch?v=6Ah_WAHZNYg
7;Forever Young;Wayne Wonder;1991;https://www.youtube.com/watch?v=ebgSXbNhReY
8;Forever Young (International Club Mix);DJ Space'C;1992;https://www.youtube.com/watch?v=ZUGe2Ov90GE
9;Forever Young;Emil Wakin Chau;1992;https://www.youtube.com/watch?v=9g6aZXePrhI
10;Forever Young;Axel Rudi Pell;1993;https://www.youtube.com/watch?v=tw-6lDnzBPo
11;Per Sempre Stronzo;Pizza E Fichi;1993;https://www.youtube.com/watch?v=dpBXQkJQ5Ig
12;Forever Young;Interactive;1994;https://www.youtube.com/watch?v=ygU0edyCQjo
13;Forever Young;Temperance;1995;https://www.youtube.com/watch?v=5nThvWUOW40
14;Forever Young;DJ Company;1997;https://www.youtube.com/watch?v=3jkLgi7j8x8
15;Forever Young;Dune feat. The London Session Orchestra;1998;https://www.youtube.com/watch?v=Ar1wOk4fhzg
16;Forever Young;Stoned;1999;https://www.youtube.com/watch?v=eKQxHEw3Xf0
17;Forever Young;Not Available;1999;https://www.youtube.com/watch?v=l4T5RCG2HUM
18;Forever Young;B-Charme;1999;https://www.youtube.com/watch?v=x3zP2nrmSRs
19;Forever Young (Unplugged Version);Alphaville;1999;https://www.youtube.com/watch?v=OulaxwdfP2s
20;Forever Young;Jamaica Soundsystem;2000;https://www.youtube.com/watch?v=vEKvvKfzbxo
21;Für Immer Jung;Karel Gott;2000;https://www.youtube.com/watch?v=Cy60mNN3Tnc
22;Forever Young;Paul Michiels;2000;https://www.youtube.com/watch?v=ugpyBuZ6u0c
23;Forever Young;Emmerson Nogueira;2001;https://www.youtube.com/watch?v=BwkEbatB-wM
24;Forever Young (Trance Mix);DJ Miko;2001;https://www.youtube.com/watch?v=s0cu4rhVaO0
25;Forever Young;Nabby Clifford;2001;https://www.youtube.com/watch?v=dWmaOYSsysU
26;Forever Young (F.A.F.'s Diamonds in the Sun Remix);Alphaville;2001;https://www.youtube.com/watch?v=L-XE-dTNjwQ
27;Forever Young;Forever Young;2003;https://www.youtube.com/watch?v=Z7uI6njsQfQ
28;Forever Young;Skam;2005;https://www.youtube.com/watch?v=cGRSMIJkPM4
29;Forever Young;Tune Up!;2005;https://www.youtube.com/watch?v=I3QG_hG2TpU
30;Forever Young;Gregorian;2006;https://www.youtube.com/watch?v=se6akxRN74k
31;Forever Young;Sara Burnett;2006;https://www.youtube.com/watch?v=JX-4KMSTEPM
32;Forever Young;Youth Group;2006;https://www.youtube.com/watch?v=l0cNfBVp3o0
33;Forever Young;Ella;2006;https://www.youtube.com/watch?v=YTcFcafMiMg
34;Být Stále Mlád;Karel Gott;2006;https://www.youtube.com/watch?v=HHHzG_pQKmA
35;Forever Young (Hamel Album Mix);Alphaville;2006;https://www.youtube.com/watch?v=JduJo_AEmo8
36;Forever Young;Tiffany;2007;https://www.youtube.com/watch?v=gQsHcKMU_Xk
37;Taas Nuori Oon;Tauski;2007;https://www.youtube.com/watch?v=ZCJLcPj-4I0
38;Forever Young;Stefano Prada;2007;https://www.youtube.com/watch?v=m-QXLQW6X5g
39;Jangsteri Vain - Forever Young;Aksu;2007;https://www.youtube.com/watch?v=rOlGCASWc_M
40;Für Immer Jung;Bushido feat. Karel Gott;2008;https://www.youtube.com/watch?v=kxRRRkXNRcY
41;Forever Young;Atrocity;2008;https://www.youtube.com/watch?v=mv2bfqoVbbo
42;Forever Young;Blogbusters;2008;https://www.youtube.com/watch?v=duiNrmVCKd8
43;Forever Young;Rooney;2008;https://www.youtube.com/watch?v=buv07LmArw0
44;Forever Young;Aegis;2008;https://www.youtube.com/watch?v=VTYgxBbBivw
45;Young Forever;Jay-Z feat. Mr. Hudson;2009;https://www.youtube.com/watch?v=4VkefYfVGR0
46;Forever Young;Martin Tallstrom;2009;https://www.youtube.com/watch?v=-eKdrlAzWAA
47;Forever Young;Bad Influence (Swedish Band);2009;https://www.youtube.com/watch?v=ApS8EoZhIxw
48;Forever Young;Katie Hasty;2009;https://www.youtube.com/watch?v=TEeG__Y7jJw
49;Forever Young;Marc de Siau;2009;https://www.youtube.com/watch?v=vCbpjPhLIPs
50;Forever Young;Headhunterz;2009;https://www.youtube.com/watch?v=bB1-1TSueSA
51;Forever Young;Karl Pearson;2009;https://www.youtube.com/watch?v=rsSRABMQAno
52;Forever Young;One Direction;2010;https://www.youtube.com/watch?v=9JVt-JdM4e4
53;Forever Young;Cash Cash;2010;https://www.youtube.com/watch?v=AekRqi__UEw
54;Forever Young (Alphaville power metal cover);Pathfinder;2010;https://www.youtube.com/watch?v=OlLIfF8KUbI
55;Forever Young;Tangerine Dream;2010;https://www.youtube.com/watch?v=bKqbCn0rFKY
56;Forever Young (Piano Cover);Tronious;2010;https://www.youtube.com/watch?v=94vhlNsjxdA
57;Young Forever; Jay-Z feat. Beyoncé;2010;https://www.youtube.com/watch?v=rmfmdKOLzVI
58;Forever Young (Rock Cover);Exit;2010;https://www.youtube.com/watch?v=hzgYjY_poQg
59;4 Eva Yang;SD-501;2011;https://www.youtube.com/watch?v=uQAtuYVUy1w
60;Forever Young;Celtic Woman;2011;https://www.youtube.com/watch?v=beVblHgCFr8
61;Forever Young;Brandi Carlile;2011;https://www.youtube.com/watch?v=f-ZokXqsd84
62;Forever Young;Sam Concepcion;2011;https://www.youtube.com/watch?v=7qFNqCzfvlE
63;Forever Young;Kim Wilde;2011;https://www.youtube.com/watch?v=CDmHt52FUj0
64;Forever Young;Rebekka Bakken;2011;https://www.youtube.com/watch?v=7aASgGYt-1E
65;Forever Young;Robbie Rivera;2012;https://www.youtube.com/watch?v=HuFp7E8RgJQ
66;Forever Young;Union J;2012;https://www.youtube.com/watch?v=z_qsg56SoHE
67;Evig Ung;Syverland;2012;https://www.youtube.com/watch?v=251OGktAwgY
68;Forever Young;Kevin Laurence;2012;https://www.youtube.com/watch?v=dOMAHF3ABQA
69;Forever Young;Chico Del Mar and Tom Palace;2013;https://www.youtube.com/watch?v=pd88EagEU5o
70;Forever Young (Kosmonova Remix);Interactive;2013;https://www.youtube.com/watch?v=EThdXs471LI
71;Forever Young;LYON;2013;https://www.youtube.com/watch?v=gtf_CtkD26A
72;Forever Young;The Killers;2013;https://www.youtube.com/watch?v=F2CZWM84b2k
73;Forever Young;Dirty Loops;2014;https://www.youtube.com/watch?v=6jy-ScoMbY8
74;Ainbusk Singers;För evigt nu;2014;https://www.youtube.com/watch?v=dW7O2VQpbeY
75;Forever Young;Mark Fossen;2014;https://www.youtube.com/watch?v=tBHAZUozFpY
76;Forever Young (Swedish Version);Robin Lukovic;2014;https://www.youtube.com/watch?v=5dNCo4GHHkQ
77;Forever Young;Albertvvl;2014;https://www.youtube.com/watch?v=YxH7t95GXqY
78;Forever Young;Hasta Martes feat. Carina Mennitto;2014;https://www.youtube.com/watch?v=i9i-3AJQym8
79;Forever Young (Kids Version);United English;2014;https://www.youtube.com/watch?v=rLbSGH5yA0k
80;Forever Young;Special D.;2015;https://www.youtube.com/watch?v=ARStgPH2Mv0
81;Örökke fiatal;Triász;2015;https://www.youtube.com/watch?v=tQmCwPZyokw
82;Forever Young;Imagine Dragons;2015;https://www.youtube.com/watch?v=CzhOQ1PM5nc
83;Forever Young (French Horn Cover);Chris Castellanos;2015;https://www.youtube.com/watch?v=6LKFDTu9vRQ
84;Forever Young (Piano Cover);Claudia Patricia;2015;https://www.youtube.com/watch?v=gZux7GwVEDI
85;Forever Young (Saxophon Cover);Juozas Kuraitis;2015;https://www.youtube.com/watch?v=LGGbTbnlvJk
86;Forever Young (Fingerstyle Guitar);Martin Tallstrom;2015;https://www.youtube.com/watch?v=doDFyRaBH-s
87;Forever Young;Cheetoz and Ivan Deyanov feat. Zoey Jones;2016;https://www.youtube.com/watch?v=7nERQpmSjus
88;Forever Young;Anne Curtis;2016;https://www.youtube.com/watch?v=RYtTIrqE4N0
89;Forever Young;Danny Darko feat. Julien Kelland;2016;https://www.youtube.com/watch?v=s0cu4rhVaO0
90;Forever Young;After Dark;2016;https://www.youtube.com/watch?v=YG3AJAA9Hd8
91;Forever Young (Gälische Version);TG Lurgan;2016;https://www.youtube.com/watch?v=lyqTM3sPNEk
92;Forever Young (Bootleg Extended Remix);K&J Project;2016;https://www.youtube.com/watch?v=JXllJAEdkzg
93;Forever Young;Kate Mirson;2016;https://www.youtube.com/watch?v=gkuiSnAP04k
94;Forever Young (Acousting Cover);Anders Strøm;2017;https://www.youtube.com/watch?v=NvOqYv8u08U
95;Forever Young;Antonio Crispi;2017;https://www.youtube.com/watch?v=Z6B4H49gP0g
96;Forever Young;Berlin Jazz Band fourluxe;2017;https://www.youtube.com/watch?v=rp5JN90KLjk
97;Forever Young (Ukulele Cover);Jen McPherson;2017;https://www.youtube.com/watch?v=1xXawXRBzfE
98;Forever Young;Larkin Poe;2017;https://www.youtube.com/watch?v=a8BNGuobUyQ
99;Forever Young;Epic Orchestra;2017;https://www.youtube.com/watch?v=g0AWfh1e4mo
100;Forever Young;Sofia Landgren;2017;https://www.youtube.com/watch?v=AxBb7ND8Sac
101;Forever Young;Scialadance;2018;https://www.youtube.com/watch?v=knrvEUFnWWU
102;Forever Young;Johannes Strate;2018;https://www.youtube.com/watch?v=OYLWQRe-L_Y
103;Forever Young;WOUNDEDSPiRiT;2018;https://www.youtube.com/watch?v=GMp9axJm8YA
104;Forever Young;Kristina Hartmann und Philipp Greb;2018;https://www.youtube.com/watch?v=YuT9d57eEWM
105;Forever Young (Reggea Remix);DJ Jaelson Mix;2018;https://www.youtube.com/watch?v=51Bx6q00cU8
106;Forever Young;Mark Fossen und Yann Muller;2018;https://www.youtube.com/watch?v=7GtSuq5l_CA
107;Forever Young (Violin Remix);ZeroPi;2018;https://www.youtube.com/watch?v=xsM5T11b9HY
108;Forever Young;Undressd;2019;https://www.youtube.com/watch?v=aflFCldHGg8
109;Voor Altijd Jong;Emile en de Ratelbandjes;2019;https://www.youtube.com/watch?v=7bQJsYt9rWU